title,year,duration,rating,url,user_agent
Moon Knight,2022– ,,7.7,https://www.imdb.com/title/tt10234724/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
The Suicide Squad,2021,"2,h, ,12,m",7.2,https://www.imdb.com/title/tt6334354/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Interstellar,2014,"2,h, ,49,m",8.7,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Dune,1984,"2,h, ,17,m",6.3,https://www.imdb.com/title/tt0087182/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Resident Alien,2021– ,"44,m",8.2,https://www.imdb.com/title/tt8690918/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Rick and Morty,2013– ,"23,m",9.2,https://www.imdb.com/title/tt2861424/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Lost,2004–2010,"44,m",8.4,https://www.imdb.com/title/tt0411008/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
,1987–1994,"44,m",8.7,https://www.imdb.com/title/tt0092455/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Avengers: Endgame,,,8.4,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
DMZ,2022,"3,h, ,55,m",5.4,https://www.imdb.com/title/tt11057226/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Gotham,2014–2019,"42,m",7.9,https://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Black Mirror,2011–2019,"1,h",8.8,https://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
The Umbrella Academy,2019– ,"1,h",8.0,https://www.imdb.com/title/tt1312171/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Doctor Who,2005– ,"45,m",8.6,https://www.imdb.com/title/tt0436992/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
,2021,"2,h, ,4,m",7.2,https://www.imdb.com/title/tt4513678/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Obi-Wan Kenobi,2022– ,,,https://www.imdb.com/title/tt8466564/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
Superman & Lois,2021– ,"42,m",7.9,https://www.imdb.com/title/tt11192306/?ref_=adv_li_tt,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36"
